Categorii de someri, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 32539
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 32979
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 32733
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 30509
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 27861
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 27232
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 22415
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2018, Numar persoane, 18953
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2019, Numar persoane, 16747
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2020, Numar persoane, 21014
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2021, Numar persoane, 17029
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2022, Numar persoane, 18810
- Primar  gimnazial si profesional, Feminin, MACROREGIUNEA UNU, Anul 2023, Numar persoane, 20652
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2011, Numar persoane, 14041
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2012, Numar persoane, 13997
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2013, Numar persoane, 12821
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2014, Numar persoane, 12942
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2015, Numar persoane, 12180
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2016, Numar persoane, 11833
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2017, Numar persoane, 10470
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2018, Numar persoane, 9099
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2019, Numar persoane, 7556
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2020, Numar persoane, 9857
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2021, Numar persoane, 8040
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2022, Numar persoane, 8079
- Primar  gimnazial si profesional, Feminin, Regiunea NORD-VEST, Anul 2023, Numar persoane, 9041
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2011, Numar persoane, 2835
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2012, Numar persoane, 2944
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2013, Numar persoane, 2486
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2014, Numar persoane, 2702
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2015, Numar persoane, 2742
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2016, Numar persoane, 2135
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2017, Numar persoane, 2102
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2018, Numar persoane, 1310
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2019, Numar persoane, 1144
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2020, Numar persoane, 1988
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2021, Numar persoane, 1128
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2022, Numar persoane, 909
- Primar  gimnazial si profesional, Feminin, Bihor, Anul 2023, Numar persoane, 1176
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2011, Numar persoane, 1721
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2012, Numar persoane, 1709
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2013, Numar persoane, 1605
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2014, Numar persoane, 1586
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2015, Numar persoane, 1336
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2016, Numar persoane, 1516
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2017, Numar persoane, 1308
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2018, Numar persoane, 1169
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2019, Numar persoane, 983
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2020, Numar persoane, 1242
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2021, Numar persoane, 1148
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2022, Numar persoane, 1132
- Primar  gimnazial si profesional, Feminin, Bistrita-Nasaud, Anul 2023, Numar persoane, 1249
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2011, Numar persoane, 3486
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2012, Numar persoane, 3465
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2013, Numar persoane, 3038
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2014, Numar persoane, 2848
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2015, Numar persoane, 2505
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2016, Numar persoane, 2781
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2017, Numar persoane, 2369
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2018, Numar persoane, 1544
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2019, Numar persoane, 1404
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2020, Numar persoane, 1846
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2021, Numar persoane, 1448
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2022, Numar persoane, 1532
- Primar  gimnazial si profesional, Feminin, Cluj, Anul 2023, Numar persoane, 1452
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2011, Numar persoane, 2257
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2012, Numar persoane, 2030
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2013, Numar persoane, 1904
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2014, Numar persoane, 1886
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2015, Numar persoane, 1957
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2016, Numar persoane, 1891
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2017, Numar persoane, 1572
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2018, Numar persoane, 2316
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2019, Numar persoane, 1520
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2020, Numar persoane, 985
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2021, Numar persoane, 1161
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2022, Numar persoane, 1090
- Primar  gimnazial si profesional, Feminin, Maramures, Anul 2023, Numar persoane, 1444
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2011, Numar persoane, 1931
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2012, Numar persoane, 2230
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2013, Numar persoane, 2157
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2014, Numar persoane, 2216
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2015, Numar persoane, 2052
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2016, Numar persoane, 2117
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2017, Numar persoane, 1680
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2018, Numar persoane, 1431
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2019, Numar persoane, 1378
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2020, Numar persoane, 2140
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2021, Numar persoane, 1805
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2022, Numar persoane, 1941
- Primar  gimnazial si profesional, Feminin, Satu Mare, Anul 2023, Numar persoane, 2054
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2011, Numar persoane, 1811
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2012, Numar persoane, 1619
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2013, Numar persoane, 1631
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2014, Numar persoane, 1704
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2015, Numar persoane, 1588
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2016, Numar persoane, 1393
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2017, Numar persoane, 1439
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2018, Numar persoane, 1329
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2019, Numar persoane, 1127
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2020, Numar persoane, 1656
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2021, Numar persoane, 1350
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2022, Numar persoane, 1475
- Primar  gimnazial si profesional, Feminin, Salaj, Anul 2023, Numar persoane, 1666
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2011, Numar persoane, 18498
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2012, Numar persoane, 18982
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2013, Numar persoane, 19912
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2014, Numar persoane, 17567
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2015, Numar persoane, 15681
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2016, Numar persoane, 15399
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2017, Numar persoane, 11945
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2018, Numar persoane, 9854
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2019, Numar persoane, 9191
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2020, Numar persoane, 11157
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2021, Numar persoane, 8989
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2022, Numar persoane, 10731
- Primar  gimnazial si profesional, Feminin, Regiunea CENTRU, Anul 2023, Numar persoane, 11611
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2011, Numar persoane, 3784
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2012, Numar persoane, 4279
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2013, Numar persoane, 6088
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2014, Numar persoane, 3710
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2015, Numar persoane, 2827
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2016, Numar persoane, 2576
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2017, Numar persoane, 1787
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2018, Numar persoane, 1597
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2019, Numar persoane, 1559
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2020, Numar persoane, 1819
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2021, Numar persoane, 1566
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2022, Numar persoane, 1783
- Primar  gimnazial si profesional, Feminin, Alba, Anul 2023, Numar persoane, 1860
